Number;Time;Date;Latitude;Longitude;Altitude;Acc_x;Acc_y;Acc_z;Gyr_x;Gyr_y;Gyr_z;Mag_x;Mag_y;Mag_z
879;08:59:49.873559;20.02.2023;49.20623924685612;18.76664725114076;369.70430928951;0.5094518504163758;-0.22477448434750621;-9.409155733158615;-0.02941967917163661;0.46298231630332226;0.6349844154667182;-1.441953344010814;17.49844849742167;37.90426033438603
880;08:59:49.973559;20.02.2023;49.20623256960993;18.76664049744865;369.6630339423185;0.14473952037876758;0.22795362688115967;-9.797568441910249;-2.348093788196918e-27;-5.287437154777308e-14;-4.440892098500626e-13;-1.4420039386259658;17.498734481789544;37.90496653686544
881;08:59:50.073559;20.02.2023;49.20622592137773;18.766633773104946;369.6219379474998;-0.011993443389029324;-0.03319101376331213;-9.811806418442531;-1.4102121275989994e-27;4.669875597329565e-14;3.019806626980426e-13;-1.442054314913349;17.499019228650962;37.90566968825141
882;08:59:50.173559;20.02.2023;49.20621928193402;18.76662705765252;369.5808962809826;0.001892847426616457;-0.010054014769856779;-9.810544956411825;-5.68534519583112e-28;-1.5612511283791264e-14;-3.6415315207705135e-13;-1.442104626117063;17.499303604231503;37.906371927553494
883;08:59:50.273559;20.02.2023;49.20621259904404;18.766620298258683;369.53958605424543;0.03775573262082809;0.049699849646253236;-9.80728709089649;-9.920234031945325e-28;1.519617764955683e-14;6.52811138479592e-13;-1.4421552680640792;17.499589845849513;37.90707877966088
884;08:59:50.373559;20.02.2023;49.20620594232797;18.76661356534062;369.4984376238769;-0.010043516656969738;-0.029942093411871793;-9.811629282692763;-1.3287375872316418e-28;-3.400058012914542e-15;-3.907985046680551e-13;-1.4422057131889314;17.499874971552565;37.90778288088565
885;08:59:50.473559;20.02.2023;49.20619926790921;18.76660681451942;369.45717976686643;0.02008093509806342;0.02025053320006996;-9.80889270943577;-1.5407439555097887e-29;6.938893903907228e-16;2.220446049250313e-13;-1.442256293989367;17.500160860689267;37.90848887216061
886;08:59:50.573559;20.02.2023;49.206192630502436;18.766600101136103;369.41615070157667;-0.017484619268536006;-0.04234027705353892;-9.812305249265531;-8.358844107431706e-28;-1.9012569296705806e-14;-4.39648317751562e-13;-1.4423065958140295;17.50044516961198;37.90919096592514
887;08:59:50.673559;20.02.2023;49.206185907873035;18.76659330155687;369.3745948359825;0.06643818456197437;0.097489851346662;-9.804681512160473;-2.3601115910498943e-28;-1.4363510381087963e-14;-1.6431300764452317e-13;-1.4423575450388535;17.5007331342155;37.909902092143
888;08:59:50.773559;20.02.2023;49.20617918826244;18.766586505033256;369.3330576336195;0.005854128934820971;-0.003453824158493286;-9.810185104649976;-2.1510018214081058e-27;3.8441472227646045e-14;5.595524044110789e-13;-1.4424084729311453;17.501020974764256;37.910612916877604
889;08:59:50.873559;20.02.2023;49.20617248581751;18.76657972587403;369.29162654312364;-0.003858698230390244;-0.019637099831493563;-9.811067439813657;-2.419584307732572e-27;-4.191091917959966e-14;-5.773159728050814e-13;-1.4424592722650316;17.501308085241405;37.91132194354341
